BikeAge,BikeAlcDrg,BikeInjury,BikeRace,BikeSex,SpeedLimit
26,No,C: Possible Injury,Unknown/Missing,Unknown,20 - 25  MPH
62,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
60,No,C: Possible Injury,White,Male,40 - 45  MPH
38,No,C: Possible Injury,White,Male,30 - 35  MPH
26,No,B: Suspected Minor Injury,White,Female,5 - 15 MPH
42,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
31,No,C: Possible Injury,White,Male,30 - 35  MPH
38,No,C: Possible Injury,White,Female,30 - 35  MPH
32,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
44,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
31,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
18,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
63,No,C: Possible Injury,Black,Male,30 - 35  MPH
9,No,C: Possible Injury,Black,Male,20 - 25  MPH
11,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
999,.,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
20,.,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
12,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
15,.,C: Possible Injury,Black,Male,30 - 35  MPH
55,.,C: Possible Injury,Black,Male,30 - 35  MPH
41,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
7,.,A: Suspected Serious Injury,White,Female,20 - 25  MPH
64,.,K: Killed,White,Male,50 - 55  MPH
14,.,B: Suspected Minor Injury,White,Female,50 - 55  MPH
35,.,C: Possible Injury,White,Female,40 - 45  MPH
13,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
9,.,A: Suspected Serious Injury,Hispanic,Male,30 - 35  MPH
13,.,O: No Injury,White,Male,30 - 35  MPH
52,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
10,.,O: No Injury,Black,Male,5 - 15 MPH
11,.,B: Suspected Minor Injury,White,Male,20 - 25  MPH
29,.,C: Possible Injury,White,Female,30 - 35  MPH
14,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
25,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
19,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
20,.,B: Suspected Minor Injury,White,Female,50 - 55  MPH
39,.,C: Possible Injury,White,Male,30 - 35  MPH
41,.,O: No Injury,White,Male,30 - 35  MPH
43,.,B: Suspected Minor Injury,Asian,Male,40 - 45  MPH
17,.,O: No Injury,White,Male,20 - 25  MPH
55,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
20,.,O: No Injury,White,Male,Unknown
45,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
7,.,B: Suspected Minor Injury,White,Male,Unknown
39,.,C: Possible Injury,White,Male,40 - 45  MPH
38,.,C: Possible Injury,White,Male,50 - 55  MPH
43,.,O: No Injury,White,Male,20 - 25  MPH
999,.,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
46,.,C: Possible Injury,White,Male,40 - 45  MPH
10,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
54,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
8,.,B: Suspected Minor Injury,Black,Female,30 - 35  MPH
9,.,C: Possible Injury,Black,Female,20 - 25  MPH
53,.,C: Possible Injury,Black,Male,30 - 35  MPH
23,.,C: Possible Injury,White,Male,30 - 35  MPH
19,.,C: Possible Injury,White,Male,40 - 45  MPH
19,.,C: Possible Injury,White,Male,Unknown
14,.,B: Suspected Minor Injury,White,Male,20 - 25  MPH
29,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
46,.,A: Suspected Serious Injury,Other,Female,50 - 55  MPH
40,.,C: Possible Injury,White,Male,40 - 45  MPH
70,No,C: Possible Injury,White,Male,40 - 45  MPH
47,.,B: Suspected Minor Injury,Black,Male,Unknown
8,No,C: Possible Injury,White,Male,50 - 55  MPH
42,.,A: Suspected Serious Injury,Hispanic,Male,30 - 35  MPH
13,No,A: Suspected Serious Injury,Black,Male,30 - 35  MPH
5,.,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
52,No,C: Possible Injury,Black,Male,30 - 35  MPH
29,.,K: Killed,White,Male,40 - 45  MPH
27,No,C: Possible Injury,White,Male,30 - 35  MPH
14,.,C: Possible Injury,White,Male,30 - 35  MPH
999,Missing,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
15,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
69,No,O: No Injury,White,Male,5 - 15 MPH
52,.,C: Possible Injury,Native American,Male,40 - 45  MPH
57,No,C: Possible Injury,Black,Male,30 - 35  MPH
42,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
39,No,C: Possible Injury,White,Male,30 - 35  MPH
67,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
999,Unknown,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
16,.,A: Suspected Serious Injury,Black,Male,40 - 45  MPH
33,No,C: Possible Injury,Black,Male,40 - 45  MPH
45,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
14,No,O: No Injury,Black,Male,5 - 15 MPH
50,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
45,No,C: Possible Injury,Black,Female,Unknown
30,.,Unknown Injury,Black,Male,30 - 35  MPH
24,No,O: No Injury,White,Female,Unknown
41,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
38,No,O: No Injury,White,Male,Unknown
63,.,C: Possible Injury,White,Male,30 - 35  MPH
28,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
22,.,B: Suspected Minor Injury,White,Female,40 - 45  MPH
30,Missing,C: Possible Injury,Black,Male,Unknown
13,.,O: No Injury,Unknown/Missing,Unknown,20 - 25  MPH
38,No,C: Possible Injury,Native American,Male,30 - 35  MPH
13,.,O: No Injury,White,Female,30 - 35  MPH
22,No,C: Possible Injury,Black,Female,5 - 15 MPH
31,.,C: Possible Injury,Black,Male,30 - 35  MPH
46,No,A: Suspected Serious Injury,White,Female,40 - 45  MPH
38,.,K: Killed,White,Male,50 - 55  MPH
45,No,B: Suspected Minor Injury,White,Male,Unknown
13,.,C: Possible Injury,White,Male,30 - 35  MPH
56,No,C: Possible Injury,White,Female,Unknown
44,.,Unknown Injury,White,Male,50 - 55  MPH
13,No,C: Possible Injury,White,Male,30 - 35  MPH
21,.,C: Possible Injury,Black,Male,30 - 35  MPH
48,No,B: Suspected Minor Injury,White,Female,40 - 45  MPH
16,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
1,No,B: Suspected Minor Injury,White,Female,5 - 15 MPH
9,.,Unknown Injury,Hispanic,Male,40 - 45  MPH
65,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
20,.,C: Possible Injury,White,Male,30 - 35  MPH
51,No,B: Suspected Minor Injury,White,Female,5 - 15 MPH
14,.,C: Possible Injury,White,Male,30 - 35  MPH
61,No,C: Possible Injury,Black,Male,30 - 35  MPH
15,.,C: Possible Injury,White,Male,5 - 15 MPH
46,No,C: Possible Injury,White,Female,30 - 35  MPH
53,.,A: Suspected Serious Injury,Native American,Male,50 - 55  MPH
47,No,O: No Injury,White,Male,30 - 35  MPH
38,.,C: Possible Injury,White,Male,30 - 35  MPH
72,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
17,.,C: Possible Injury,White,Male,30 - 35  MPH
51,No,A: Suspected Serious Injury,Black,Male,50 - 55  MPH
28,.,K: Killed,White,Male,50 - 55  MPH
48,Unknown,C: Possible Injury,Black,Male,Unknown
18,.,C: Possible Injury,Black,Male,40 - 45  MPH
16,No,Unknown Injury,White,Male,20 - 25  MPH
7,.,C: Possible Injury,Black,Male,30 - 35  MPH
64,No,O: No Injury,Black,Male,5 - 15 MPH
10,.,O: No Injury,Black,Female,30 - 35  MPH
19,No,C: Possible Injury,Black,Male,30 - 35  MPH
26,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
35,Missing,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
13,.,C: Possible Injury,Black,Male,30 - 35  MPH
58,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
10,.,C: Possible Injury,White,Male,5 - 15 MPH
64,Unknown,C: Possible Injury,White,Male,50 - 55  MPH
21,.,O: No Injury,Other,Male,5 - 15 MPH
35,No,B: Suspected Minor Injury,Hispanic,Male,20 - 25  MPH
7,.,C: Possible Injury,White,Female,Unknown
31,No,C: Possible Injury,White,Male,30 - 35  MPH
15,.,A: Suspected Serious Injury,Black,Male,20 - 25  MPH
12,No,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
44,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
53,Missing,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
11,.,B: Suspected Minor Injury,Black,Female,20 - 25  MPH
23,No,B: Suspected Minor Injury,White,Male,Unknown
55,.,O: No Injury,Black,Male,30 - 35  MPH
49,No,B: Suspected Minor Injury,Other,Male,40 - 45  MPH
18,.,C: Possible Injury,White,Male,30 - 35  MPH
36,No,C: Possible Injury,White,Female,20 - 25  MPH
59,.,O: No Injury,Unknown/Missing,Male,5 - 15 MPH
35,.,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
26,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
31,.,C: Possible Injury,Black,Female,30 - 35  MPH
15,.,O: No Injury,White,Male,Unknown
33,.,B: Suspected Minor Injury,White,Female,30 - 35  MPH
30,.,O: No Injury,White,Male,40 - 45  MPH
60,.,A: Suspected Serious Injury,White,Female,50 - 55  MPH
58,.,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
47,.,B: Suspected Minor Injury,Black,Male,Unknown
22,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
46,.,K: Killed,White,Male,60 - 75 MPH
64,.,C: Possible Injury,White,Female,20 - 25  MPH
20,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
37,.,B: Suspected Minor Injury,White,Female,30 - 35  MPH
34,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
8,.,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
44,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
38,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
53,.,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
13,.,C: Possible Injury,White,Female,20 - 25  MPH
36,.,C: Possible Injury,Hispanic,Male,20 - 25  MPH
27,.,C: Possible Injury,White,Male,20 - 25  MPH
37,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
23,.,B: Suspected Minor Injury,White,Male,5 - 15 MPH
999,.,Unknown Injury,Black,Male,20 - 25  MPH
12,.,O: No Injury,White,Male,30 - 35  MPH
18,.,B: Suspected Minor Injury,Black,Female,30 - 35  MPH
38,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
9,.,C: Possible Injury,Black,Female,30 - 35  MPH
48,.,C: Possible Injury,Other,Male,Unknown
6,.,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
25,.,C: Possible Injury,White,Male,40 - 45  MPH
26,.,C: Possible Injury,White,Male,20 - 25  MPH
28,.,B: Suspected Minor Injury,White,Female,30 - 35  MPH
18,.,C: Possible Injury,Black,Male,20 - 25  MPH
50,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,White,Male,50 - 55  MPH
11,.,O: No Injury,Black,Male,Unknown
18,No,O: No Injury,Black,Male,30 - 35  MPH
7,.,C: Possible Injury,Black,Female,5 - 15 MPH
49,No,C: Possible Injury,Black,Male,30 - 35  MPH
7,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
50,No,O: No Injury,Black,Male,20 - 25  MPH
16,.,C: Possible Injury,Black,Female,Unknown
21,No,O: No Injury,Hispanic,Male,30 - 35  MPH
14,.,C: Possible Injury,Native American,Male,50 - 55  MPH
11,No,B: Suspected Minor Injury,Black,Male,Unknown
4,.,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
65,.,C: Possible Injury,White,Male,60 - 75 MPH
19,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
34,No,K: Killed,White,Male,40 - 45  MPH
45,.,K: Killed,Black,Male,20 - 25  MPH
49,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
17,.,A: Suspected Serious Injury,Hispanic,Male,50 - 55  MPH
15,Unknown,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
23,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
19,No,C: Possible Injury,Black,Male,30 - 35  MPH
50,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
37,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
44,.,B: Suspected Minor Injury,Black,Male,Unknown
21,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
16,.,C: Possible Injury,White,Male,Unknown
51,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
41,.,C: Possible Injury,Black,Male,50 - 55  MPH
43,No,B: Suspected Minor Injury,White,Male,20 - 25  MPH
38,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
4,No,O: No Injury,Black,Female,20 - 25  MPH
999,.,Unknown Injury,Unknown/Missing,Unknown,30 - 35  MPH
54,No,C: Possible Injury,White,Male,40 - 45  MPH
22,.,Unknown Injury,White,Male,20 - 25  MPH
16,No,C: Possible Injury,White,Male,40 - 45  MPH
10,.,B: Suspected Minor Injury,Black,Female,30 - 35  MPH
21,.,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
65,.,A: Suspected Serious Injury,Black,Male,40 - 45  MPH
44,"Yes-Alcohol, impairment suspected",A: Suspected Serious Injury,White,Male,50 - 55  MPH
19,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
12,No,B: Suspected Minor Injury,White,Female,20 - 25  MPH
16,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
49,No,C: Possible Injury,Black,Male,40 - 45  MPH
17,.,A: Suspected Serious Injury,White,Female,50 - 55  MPH
18,No,C: Possible Injury,Black,Male,20 - 25  MPH
24,.,C: Possible Injury,White,Female,30 - 35  MPH
52,No,O: No Injury,White,Male,50 - 55  MPH
14,.,C: Possible Injury,Black,Male,30 - 35  MPH
14,No,B: Suspected Minor Injury,White,Male,50 - 55  MPH
10,.,B: Suspected Minor Injury,Other,Male,20 - 25  MPH
13,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
42,.,C: Possible Injury,White,Male,30 - 35  MPH
17,No,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
40,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
33,No,B: Suspected Minor Injury,Native American,Male,30 - 35  MPH
16,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
16,No,K: Killed,Black,Male,50 - 55  MPH
5,.,C: Possible Injury,Black,Male,30 - 35  MPH
8,.,C: Possible Injury,Black,Male,20 - 25  MPH
47,.,O: No Injury,Black,Female,30 - 35  MPH
21,No,C: Possible Injury,White,Male,20 - 25  MPH
46,.,O: No Injury,White,Female,40 - 45  MPH
54,No,C: Possible Injury,Black,Male,50 - 55  MPH
51,.,C: Possible Injury,White,Male,30 - 35  MPH
42,No,C: Possible Injury,White,Male,20 - 25  MPH
28,.,C: Possible Injury,Black,Male,30 - 35  MPH
31,No,O: No Injury,White,Male,30 - 35  MPH
69,.,C: Possible Injury,White,Male,40 - 45  MPH
8,No,C: Possible Injury,Black,Female,20 - 25  MPH
50,.,C: Possible Injury,White,Male,50 - 55  MPH
23,No,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
56,.,C: Possible Injury,Black,Male,40 - 45  MPH
48,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
13,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
9,No,C: Possible Injury,White,Male,5 - 15 MPH
19,.,C: Possible Injury,White,Male,30 - 35  MPH
59,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
25,.,C: Possible Injury,Black,Male,30 - 35  MPH
40,Unknown,Unknown Injury,Hispanic,Male,30 - 35  MPH
51,.,C: Possible Injury,Black,Male,30 - 35  MPH
57,No,C: Possible Injury,Black,Male,40 - 45  MPH
70+,.,C: Possible Injury,White,Male,40 - 45  MPH
23,No,O: No Injury,White,Female,5 - 15 MPH
70+,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
25,No,C: Possible Injury,White,Male,40 - 45  MPH
69,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
27,No,C: Possible Injury,Black,Male,30 - 35  MPH
60,.,O: No Injury,White,Male,40 - 45  MPH
37,No,C: Possible Injury,Black,Male,30 - 35  MPH
14,.,C: Possible Injury,White,Male,30 - 35  MPH
10,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
19,.,O: No Injury,White,Male,5 - 15 MPH
41,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
31,.,C: Possible Injury,White,Male,30 - 35  MPH
18,No,C: Possible Injury,White,Male,Unknown
41,.,C: Possible Injury,White,Male,40 - 45  MPH
54,"Yes-Alcohol, impairment detected",O: No Injury,Black,Male,40 - 45  MPH
47,.,O: No Injury,Black,Female,20 - 25  MPH
5,No,C: Possible Injury,Black,Male,30 - 35  MPH
20,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
20,No,O: No Injury,White,Male,5 - 15 MPH
18,.,O: No Injury,White,Male,5 - 15 MPH
53,No,C: Possible Injury,White,Male,40 - 45  MPH
18,.,O: No Injury,White,Male,40 - 45  MPH
34,No,C: Possible Injury,White,Male,30 - 35  MPH
51,.,C: Possible Injury,White,Male,30 - 35  MPH
18,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
23,.,B: Suspected Minor Injury,Hispanic,Male,Unknown
61,No,C: Possible Injury,Black,Male,30 - 35  MPH
25,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
23,No,O: No Injury,White,Male,5 - 15 MPH
34,.,C: Possible Injury,Black,Male,40 - 45  MPH
26,No,O: No Injury,White,Male,40 - 45  MPH
23,.,A: Suspected Serious Injury,Black,Male,30 - 35  MPH
53,No,C: Possible Injury,White,Female,30 - 35  MPH
7,.,C: Possible Injury,Black,Male,30 - 35  MPH
51,"Yes-Alcohol, impairment suspected",K: Killed,Black,Female,50 - 55  MPH
49,.,C: Possible Injury,Black,Male,50 - 55  MPH
12,No,C: Possible Injury,White,Male,20 - 25  MPH
15,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
14,No,B: Suspected Minor Injury,Black,Male,5 - 15 MPH
12,.,C: Possible Injury,Black,Male,40 - 45  MPH
19,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
11,.,C: Possible Injury,White,Male,30 - 35  MPH
47,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
21,.,C: Possible Injury,White,Male,30 - 35  MPH
36,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,White,Male,20 - 25  MPH
16,.,C: Possible Injury,Black,Male,20 - 25  MPH
17,No,C: Possible Injury,White,Male,5 - 15 MPH
45,.,K: Killed,White,Male,50 - 55  MPH
60,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
47,.,O: No Injury,Black,Male,40 - 45  MPH
47,"Yes-Alcohol, impairment suspected",C: Possible Injury,White,Male,50 - 55  MPH
18,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
50,Unknown,C: Possible Injury,Black,Male,30 - 35  MPH
42,.,O: No Injury,Native American,Male,Unknown
17,No,C: Possible Injury,White,Male,30 - 35  MPH
29,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
20,No,C: Possible Injury,Black,Male,30 - 35  MPH
51,.,C: Possible Injury,Black,Male,40 - 45  MPH
37,No,Unknown Injury,Unknown/Missing,Female,30 - 35  MPH
22,.,C: Possible Injury,White,Male,30 - 35  MPH
16,No,C: Possible Injury,Black,Male,5 - 15 MPH
13,.,C: Possible Injury,White,Male,40 - 45  MPH
20,No,C: Possible Injury,Black,Male,30 - 35  MPH
40,.,C: Possible Injury,White,Male,30 - 35  MPH
12,No,C: Possible Injury,Hispanic,Male,20 - 25  MPH
54,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
58,No,C: Possible Injury,Black,Male,30 - 35  MPH
20,.,B: Suspected Minor Injury,Black,Male,40 - 45  MPH
999,Missing,Unknown Injury,Unknown/Missing,Unknown,50 - 55  MPH
11,.,A: Suspected Serious Injury,Black,Male,40 - 45  MPH
23,No,C: Possible Injury,Other,Male,40 - 45  MPH
58,.,A: Suspected Serious Injury,White,Male,30 - 35  MPH
19,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
10,.,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
32,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
49,.,A: Suspected Serious Injury,Black,Male,50 - 55  MPH
30,"Yes-Alcohol, impairment detected",B: Suspected Minor Injury,White,Male,30 - 35  MPH
43,.,C: Possible Injury,Black,Male,30 - 35  MPH
18,No,B: Suspected Minor Injury,White,Female,30 - 35  MPH
11,.,B: Suspected Minor Injury,Black,Male,20 - 25  MPH
52,No,B: Suspected Minor Injury,Native American,Male,50 - 55  MPH
11,.,A: Suspected Serious Injury,White,Female,20 - 25  MPH
16,No,C: Possible Injury,Black,Male,30 - 35  MPH
53,.,C: Possible Injury,Black,Male,30 - 35  MPH
23,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
46,.,C: Possible Injury,Black,Male,30 - 35  MPH
47,"Yes-Alcohol, impairment suspected",O: No Injury,Black,Male,50 - 55  MPH
44,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
49,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
49,.,C: Possible Injury,White,Male,5 - 15 MPH
15,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
25,.,A: Suspected Serious Injury,White,Male,40 - 45  MPH
55,No,C: Possible Injury,White,Male,30 - 35  MPH
14,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
37,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
28,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
30,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
51,.,K: Killed,White,Male,40 - 45  MPH
20,No,C: Possible Injury,White,Female,30 - 35  MPH
64,.,B: Suspected Minor Injury,White,Male,50 - 55  MPH
46,Missing,C: Possible Injury,White,Male,30 - 35  MPH
15,.,B: Suspected Minor Injury,Black,Male,50 - 55  MPH
30,No,K: Killed,Black,Male,30 - 35  MPH
20,.,C: Possible Injury,White,Male,30 - 35  MPH
59,No,C: Possible Injury,Black,Male,30 - 35  MPH
52,.,A: Suspected Serious Injury,White,Male,50 - 55  MPH
15,No,C: Possible Injury,Black,Male,30 - 35  MPH
55,.,B: Suspected Minor Injury,Black,Male,Unknown
13,No,B: Suspected Minor Injury,Hispanic,Male,40 - 45  MPH
10,.,C: Possible Injury,White,Male,40 - 45  MPH
60,No,B: Suspected Minor Injury,White,Female,40 - 45  MPH
22,.,B: Suspected Minor Injury,White,Male,20 - 25  MPH
44,No,B: Suspected Minor Injury,Hispanic,Male,30 - 35  MPH
23,.,B: Suspected Minor Injury,White,Male,30 - 35  MPH
51,No,C: Possible Injury,Black,Male,40 - 45  MPH
21,.,B: Suspected Minor Injury,White,Male,20 - 25  MPH
11,No,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
12,.,C: Possible Injury,White,Female,20 - 25  MPH
14,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
46,.,C: Possible Injury,White,Male,50 - 55  MPH
46,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,White,Male,Unknown
18,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
35,No,O: No Injury,White,Male,30 - 35  MPH
18,.,O: No Injury,White,Male,30 - 35  MPH
24,No,O: No Injury,White,Male,50 - 55  MPH
15,.,B: Suspected Minor Injury,White,Male,40 - 45  MPH
46,No,B: Suspected Minor Injury,White,Female,40 - 45  MPH
38,.,C: Possible Injury,White,Male,40 - 45  MPH
49,No,C: Possible Injury,White,Male,Unknown
20,.,C: Possible Injury,White,Male,20 - 25  MPH
26,No,C: Possible Injury,White,Male,20 - 25  MPH
54,.,C: Possible Injury,White,Male,40 - 45  MPH
22,No,C: Possible Injury,Other,Male,30 - 35  MPH
13,.,B: Suspected Minor Injury,Black,Male,30 - 35  MPH
43,No,C: Possible Injury,White,Female,50 - 55  MPH
41,.,C: Possible Injury,Black,Male,Unknown
36,No,C: Possible Injury,White,Male,50 - 55  MPH
51,"Yes-Alcohol, impairment suspected",B: Suspected Minor Injury,Black,Male,30 - 35  MPH
39,No,C: Possible Injury,White,Male,40 - 45  MPH
22,No,C: Possible Injury,White,Female,40 - 45  MPH
71,No,K: Killed,Native American,Male,50 - 55  MPH
60,.,C: Possible Injury,White,Male,30 - 35  MPH
19,No,C: Possible Injury,White,Male,30 - 35  MPH
12,No,B: Suspected Minor Injury,White,Male,30 - 35  MPH
55,No,B: Suspected Minor Injury,White,Male,40 - 45  MPH
7,No,C: Possible Injury,Black,Male,5 - 15 MPH
56,No,C: Possible Injury,White,Male,40 - 45  MPH
